gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000036054,TBC1D23,0.062635482,0.155265601,NS
ENSG00000036257,CUL3,0.043248117,0.310700841,NS
ENSG00000036448,MYOM2,-0.011835385,NA,NS
ENSG00000036530,CYP46A1,0.003105004,NA,NS
ENSG00000036549,ZZZ3,0.096621731,0.011210708,NS
ENSG00000036672,USP2,0.028314354,0.541295131,NS
ENSG00000037042,TUBG2,-0.016284137,0.775945257,NS
ENSG00000037241,RPL26L1,-0.074446323,0.086212032,NS
ENSG00000037280,FLT4,-0.014100002,NA,NS
ENSG00000037474,NSUN2,0.016182607,0.688621149,NS
ENSG00000037637,FBXO42,0.023008653,0.662853473,NS
ENSG00000037749,MFAP3,0.049648937,0.273815544,NS
ENSG00000037757,MRI1,-0.01305202,0.827083183,NS
ENSG00000037897,METTL1,-0.052760337,0.25032393,NS
ENSG00000037965,HOXC8,0.000617086,NA,NS
ENSG00000038002,AGA,0.010585026,0.862927824,NS
ENSG00000038210,PI4K2B,0.03759712,0.386915302,NS
ENSG00000038219,BOD1L1,0.031249039,0.529496301,NS
ENSG00000038274,MAT2B,-0.009986733,0.866040067,NS
ENSG00000038295,TLL1,0.323723853,1.02E-07,NS
ENSG00000038358,EDC4,-0.012544083,0.819299099,NS
ENSG00000038382,TRIO,0.053453954,0.24540305,NS
ENSG00000038532,CLEC16A,0.072212075,0.103357998,NS
ENSG00000039068,CDH1,0.089548896,0.008652025,NS
ENSG00000039123,MTREX,0.049236235,0.222171266,NS
ENSG00000039139,DNAH5,-0.031083506,0.523024708,NS
ENSG00000039319,ZFYVE16,0.046510028,0.316663583,NS
ENSG00000039523,RIPOR1,0.041117479,0.32641269,NS
ENSG00000039560,RAI14,0.189188655,3.21E-07,NS
ENSG00000039650,PNKP,-0.058252807,0.210813448,NS
ENSG00000040199,PHLPP2,0.018180067,0.749889991,NS
ENSG00000040275,SPDL1,-0.052533908,0.215593301,NS
ENSG00000040341,STAU2,0.056849957,0.200627329,NS
ENSG00000040487,SLC66A1,-0.007915216,0.894961549,NS
ENSG00000040531,CTNS,0.038397396,0.430099167,NS
ENSG00000040608,RTN4R,0.021937709,0.672120904,NS
ENSG00000040633,PHF23,0.013839595,0.795272591,NS
ENSG00000040933,INPP4A,0.038274583,0.435385454,NS
ENSG00000041353,RAB27B,0.099150525,0.032886544,NS
ENSG00000041357,PSMA4,-0.009371486,0.858266736,NS
ENSG00000041802,LSG1,-0.007432281,0.888524964,NS
ENSG00000041880,PARP3,-0.015288713,0.789302151,NS
ENSG00000041982,TNC,0.013979656,NA,NS
ENSG00000041988,THAP3,-0.02175001,0.688575628,NS
ENSG00000042088,TDP1,-0.033740873,0.446450453,NS
ENSG00000042286,AIFM2,0.002627223,NA,NS
ENSG00000042317,SPATA7,-0.016521279,0.762460782,NS
ENSG00000042429,MED17,-0.015921925,0.756664693,NS
ENSG00000042445,RETSAT,0.025889491,0.570877051,NS
ENSG00000042493,CAPG,-0.007928756,NA,NS
ENSG00000042753,AP2S1,-0.102696492,0.009993687,NS
ENSG00000042781,USH2A,0.007725679,NA,NS
ENSG00000042832,TG,0.00989297,NA,NS
ENSG00000042980,ADAM28,-0.002395001,NA,NS
